id,component,type,submission_date,contact,source,reference,extraction_method,peak_identificaton,interpolation_method,extra_preprocessing,complete_sample_name,sample_source,sample_composition,sample_preparation,sample_substrate,raman_technique,raman_system,delivery_optics,laser_wavelength,laser_power,acquisition_time,orig_spectral_range,orig_spectral_resolution,orig_spatial_resolution,detector,calibration,cropping,spike_removal,denoising,background_removal,baseline_removal,normalization,additional_info
146,trypsin inhibitor,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,trypsin inhibitor,"Sigma-Aldrich, T9253",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
147,trypsin inhibitor,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,trypsin inhibitor,"Sigma-Aldrich, T9253",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
148,trypsin inhibitor,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,trypsin inhibitor,"Sigma-Aldrich, T9253",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
149,thaumatin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,thaumatin,"Sigma-Aldrich, T7638",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
150,thaumatin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,thaumatin,"Sigma-Aldrich, T7638",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
151,thaumatin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,thaumatin,"Sigma-Aldrich, T7638",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
152,triosephosphate isomerase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,triosephosphate isomerase,"Sigma-Aldrich, T6258",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
153,triosephosphate isomerase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,triosephosphate isomerase,"Sigma-Aldrich, T6258",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
154,triosephosphate isomerase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,triosephosphate isomerase,"Sigma-Aldrich, T6258",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
155,trypsin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,trypsin,"Sigma-Aldrich, T8003",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
156,trypsin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,trypsin,"Sigma-Aldrich, T8003",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
157,trypsin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,trypsin,"Sigma-Aldrich, T8003",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
158,ubiquitin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,ubiquitin,"Sigma-Aldrich, 93950",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
159,ubiquitin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,ubiquitin,"Sigma-Aldrich, 93950",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
160,ubiquitin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,ubiquitin,"Sigma-Aldrich, 93950",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
161,glucose oxidase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,Glucose oxidase,"Sigma-Aldrich, G6511",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
162,glucose oxidase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,glutathione transferase,"Sigma-Aldrich, G6511",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
163,xylanase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,xylanase,"Sigma-Aldrich, X1753",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
164,xylanase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,xylanase,"Sigma-Aldrich, X1753",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
165,xylanase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,xylanase,"Sigma-Aldrich, X1753",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
166,cytochrome c,Proteins/Hemeproteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,cytochrome c,"Sigma-Aldrich, C3131",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
167,cytochrome c,Proteins/Hemeproteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,cytochrome c,"Sigma-Aldrich, C3131",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
168,a-dna,NucleicAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/bip.360230206,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,Calf-thymus a-DNA fibers,"Miles (lot no. 7068, code 36-155-4)",a-DNA fibers,"Consult the reference for phenol extraction, buffer A media, and fiber preparation details. Measurements acquired at 32ºC",,,Spex model 1401,,514.5,1 00 mW,16 h,,2 cm-1,,,Indene wavenumber calibration,,,,,,,
169,b-dna,NucleicAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/bip.360230206,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,Calf-thymus b-DNA fibers,"Miles (lot no. 7068, code 36-155-4)",b-DNA fibers,"Consult the reference for phenol extraction, buffer B media, and fiber preparation details. Measurements acquired at 32ºC",,,Spex model 1401,,514.5,100 mW,16 h,,2 cm-1,,,Indene wavenumber calibration,,,,,,,
170,t-rna,NucleicAcids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/bip.1974.360130313,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,Yeast tRNA (phenylalanine),Boehringer Mannheim Corporation,"Without further purification. Concentration of 40
µg/µl (4% by weight) in water","Temperature = 32ºC, pH=7",,Spontaneous, Spex Ramalog spectrometer,,488.0,200 mW,Period = 20 s Scan rate = 25 cm-1 / min Spectral slit width = 10 cm-1,,2 cm-1,,,,,,,,,,
171,ceramide,Lipids,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/0378-5173(95)04309-8,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,Ceramides type IV,"Sigma-Aldrich
(Sigma Chemical Company St. Louis, Mo.
U.S.A.) ",Without further sample processing,The sample was prepared in a glass tube,Glass tube,Fourier transform Raman,"Bruker
Fourier transform infrared spectrometer IFS 66
equipped with the Raman module FRA 106. Bruker OPUS software
package. , Diode pumped Nd:YAG laser",,1064.0,300 mW,10 min (400 scans),,4 cm-1,,,,,,,,,,"In this study,  ceramide was measured at different temperatures (293-373 K). The obtained spectrum was acquired at room temperature"
172,melanin,Pigments,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1117/1.1805553,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,"Synthetic dihydroxyphenylalanine
(DOPA) melanin","SigmaAldrich Chemical Corporation (St. Louis, Missouri). M-8631",Natural melanin isolated from cuttlefish ink sacs of Sepia officinalis. ,Without further sample processing,,Spontaneous (dispersive),Custom built dispersive type near-infrared Raman spectrometer. Diode laser,,785.0,150 mW over a 3.5 mm diameter spot (1.56 W/cm2,1 s,800-1800 cm-1,8  cm-1,,CCD,Correction of system spectral response,,,,,Second-order polynomial,Area normalization,
173,melanin,Pigments,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1117/1.1805553,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,"Synthetic dihydroxyphenylalanine
(DOPA) melanin","SigmaAldrich Chemical Corporation (St. Louis, Missouri). M-8631",Natural melanin isolated from cuttlefish ink sacs of Sepia officinalis. ,Without further sample processing,,Spontaneous,MicroRaman system (Horiba). He-Ne laser,,632.8,< 1W/cm3,20 min,800-1800 cm-1,2  cm-1,,,Correction of system spectral response,,,,,Second-order polynomial,Area normalization,
174,melanin,Pigments,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1117/1.1805553,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,"Synthetic dihydroxyphenylalanine
(DOPA) melanin","SigmaAldrich Chemical Corporation (St. Louis, Missouri). M-8631",Natural melanin isolated from cuttlefish ink sacs of Sepia officinalis. ,Without further sample processing,,Spontaneous,80-cm conventional triple Raman spectrograph (Horiba). Ar+ laser,,514.5,< 1W/cm3,20 min,800-1800 cm-1,5  cm-1,,,Correction of system spectral response,,,,,Second-order polynomial,Area normalization,
175,melanin,Pigments,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1117/1.1805553,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,"Synthetic dihydroxyphenylalanine
(DOPA) melanin","SigmaAldrich Chemical Corporation (St. Louis, Missouri). M-8631",Natural melanin isolated from cuttlefish ink sacs of Sepia officinalis. ,Without further sample processing,,Spontaneous,80-cm conventional triple Raman spectrograph (Horiba). Ar+ laser,,457.9,< 1W/cm3. ,20 min,800-1800 cm-1,5  cm-1,,,Correction of system spectral response,,,,,Second-order polynomial,Area normalization,
176,2-deoxy-d-ribose,Saccharides/Monosaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/j.saa.2017.05.045,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,2-deoxy-d-ribose,Sigma-Aldrich,Without further sample processing,"Solids of the samples were measured directly
from metal discs",Metal discs,Fourier Transform,MultiRAM FT-Raman spectrometer,,1064.0,100 mW,,400-4000 cm-1,4 cm-1,,Germanium detector,,,,,,,,
177,amylopectin,Saccharides/Polysaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/j.saa.2017.05.045,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,amylopectin,Sigma-Aldrich,Without further sample processing,"Solids of the samples were measured directly
from metal discs",Metal discs,Fourier Transform,MultiRAM FT-Raman spectrometer,,1064.0,100 mW,,400-4000 cm-1,4 cm-1,,Germanium detector,,,,,,,,
178,amylose,Saccharides/Polysaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/j.saa.2017.05.045,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,amylose,Sigma-Aldrich,Without further sample processing,"Solids of the samples were measured directly
from metal discs",Metal discs,Fourier Transform,MultiRAM FT-Raman spectrometer,,1064.0,100 mW,,400-4000 cm-1,4 cm-1,,Germanium detector,,,,,,,,
179,d-(+)-galactose,Saccharides/Monosaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/j.saa.2017.05.045,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(+)-galactose,Sigma-Aldrich,Without further sample processing,"Solids of the samples were measured directly
from metal discs",Metal discs,Fourier Transform,MultiRAM FT-Raman spectrometer,,1064.0,100 mW,,400-4000 cm-1,4 cm-1,,Germanium detector,,,,,,,,
180,d-(+)-glucose,Saccharides/Monosaccharides,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1016/j.saa.2017.05.045,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,d-(+)-glucose,Sigma-Aldrich,Without further sample processing,"Solids of the samples were measured directly
from metal discs",Metal discs,Fourier Transform,MultiRAM FT-Raman spectrometer,,1064.0,100 mW,,400-4000 cm-1,4 cm-1,,Germanium detector,,,,,,,,
